INFO  - 2019-04-24 21:08:14.323; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.326; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.327; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2019-04-24 21:08:14.340; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2019-04-24 21:08:14.342; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2019-04-24 21:08:14.344; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.347; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.355; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2019-04-24 21:08:14.359; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2019-04-24 21:08:14.372; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2019-04-24 21:08:14.374; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2019-04-24 21:08:14.396; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2019-04-24 21:08:14.415; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2019-04-24 21:08:14.421; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf\elevate.xml
